Date,Transactions in,Transactions out
2021-01-21,1,0
2021-01-22,6,0
2021-01-23,3,0
2021-01-24,4,0
2021-01-25,2,0
2021-01-26,9,0
2021-01-27,10,0
2021-01-28,7,0
2021-01-29,1,0
2021-01-30,1,0
2021-01-31,5,0
2021-02-01,8,0
2021-02-02,12,0
2021-02-03,27,0
2021-02-04,12,19
2021-02-05,12,16
2021-02-06,11,14
2021-02-07,16,13
2021-02-08,19,6
2021-02-09,10,5
2021-02-10,22,10
2021-02-11,26,6
2021-02-12,19,9
2021-02-13,20,5
2021-02-14,19,7
2021-02-15,13,7
2021-02-16,40,9
2021-02-17,28,15
2021-02-18,65,13
2021-02-19,53,21
2021-02-20,38,22
2021-02-21,61,25
2021-02-22,79,20
2021-02-23,75,55
2021-02-24,123,44
2021-02-25,173,51
2021-02-26,201,72
2021-02-27,209,59
2021-02-28,290,88
2021-03-01,351,108
2021-03-02,349,159
2021-03-03,416,128
2021-03-04,413,207
2021-03-05,404,128
2021-03-06,349,163
2021-03-07,279,135
2021-03-08,350,144
2021-03-09,347,181
2021-03-10,410,156
2021-03-11,451,191
2021-03-12,497,206
2021-03-13,481,204
2021-03-14,513,233
2021-03-15,480,190
2021-03-16,507,189
2021-03-17,554,214
2021-03-18,539,235
2021-03-19,607,218
2021-03-20,572,220
2021-03-21,512,186
2021-03-22,485,156
2021-03-23,568,192
2021-03-24,516,154
2021-03-25,636,222
2021-03-26,599,213
2021-03-27,560,222
2021-03-28,533,172
2021-03-29,456,203
2021-03-30,420,177
2021-03-31,345,142
2021-04-01,457,218
2021-04-02,478,167
2021-04-03,541,216
2021-04-04,666,171
2021-04-05,427,184
2021-04-06,282,107
